year,afinn_sentiment_avg,afinn_sd_avg,afinn_sentiment_wtd,afinn_sd_wtd,jockers_sentiment_avg,jockers_sd_avg,jockers_sentiment_wtd,jockers_sd_wtd,nrc_sentiment_avg,nrc_sd_avg,nrc_sentiment_wtd,nrc_sd_wtd,huliu_sentiment_avg,huliu_sd_avg,huliu_sentiment_wtd,huliu_sd_wtd,rheault_sentiment_avg,rheault_sd_avg,rheault_sentiment_wtd,rheault_sd_wtd,tot_speeches,tot_words,avg_speech_length
2004,0.18465530283028378,0.5793260459854418,0.23524975243583832,0.7963760288365509,0.13448224249197088,0.2536909720895676,0.13325170717488544,0.2812760852841202,0.18411976017643358,0.3585226731120468,0.20413474167473453,0.4223078143545446,0.06351654395933935,0.3391060459086548,0.07831195564715446,0.46482242607386504,0.23455306988864005,0.24380479386167397,0.25273824472848205,0.25273824472848205,54439,10025499,184.16023439078603
2005,0.18072068779959327,0.6020194768742865,0.23587459575818218,0.8471992850241494,0.13347266437176475,0.25782189409526024,0.12936325674829757,0.288596740413494,0.1832814929169074,0.36251490095147487,0.19933881429202335,0.42192319174718224,0.06972222069644715,0.3485187194238807,0.0720764850031352,0.4670215855261927,0.23582172123615286,0.24696038746393723,0.2523159696262348,0.2523159696262348,51397,10646244,207.137459384789
2006,0.19411007684138368,0.6013635436270822,0.2539829541552073,0.8039580649612103,0.13427922278665383,0.2555682392855351,0.13355388179922725,0.2803965632230602,0.1855019929928725,0.3628082456257107,0.20529676713908618,0.4184542646150302,0.06661337992352427,0.34369694571509896,0.07285958627059812,0.4391679936065801,0.2389276190766095,0.24768417816101285,0.25121543356168263,0.25121543356168263,59381,12119900,204.1040063319917
2007,0.20525220978440364,0.6057819436643729,0.25843259314326594,0.8116171761118797,0.14004088197375933,0.25717340690676216,0.13582152120029622,0.28325044152502765,0.1947891825820294,0.3649178857820715,0.21266523443013205,0.42202029445784445,0.07294110653125566,0.3473067718516091,0.08203766576160643,0.4419886553638803,0.24434376585764425,0.24887423773447528,0.2572297282217761,0.2572297282217761,60814,13330228,219.19669812872036
2008,0.19623247947693193,0.5970531633324521,0.2572959147944665,0.8204170189151458,0.13624812508120226,0.25518688411347834,0.1371907305141094,0.2818044975346058,0.1866290560741075,0.3602848652269148,0.21000926836529435,0.42421753334313056,0.07247387046299883,0.34914234106207725,0.08513281835646637,0.4596021672240857,0.240663463166094,0.24812658420391762,0.25762536718641227,0.25762536718641227,63826,12935136,202.6624886409927
2009,0.19352806804811903,0.6321356422109831,0.23914905468658262,0.8664301967092359,0.13446288758844807,0.260399132552841,0.13171520659448674,0.29014992167622894,0.18641486569306415,0.37007003373228087,0.2011150718645699,0.43816096135216465,0.07093048609952943,0.36284816739370157,0.060405351131816526,0.4882169832294427,0.24437965227620984,0.25270076201371017,0.2600466888682853,0.2600466888682853,61965,13816473,222.97221011861535
2010,0.2086473508395082,0.6034330245212391,0.28410735506312557,0.855805463145342,0.14142253690190798,0.25438533345350045,0.1459269126806186,0.28671022147962955,0.19560295909193479,0.35989322229015297,0.22095478355075512,0.42884037985073026,0.08434569002793803,0.3472563980013392,0.11040240811593893,0.46356917846488543,0.2511863177109072,0.24766321108585432,0.2691766086484042,0.2691766086484042,62947,10095139,160.37522042353092
2011,0.21373602336271758,0.6016025346779718,0.2720861620237943,0.8066244025059282,0.14167899980050755,0.252541967611038,0.14042217236227447,0.28245423498588484,0.19669778181362513,0.36009212554540193,0.21689178996512135,0.42127258827002945,0.0880085484964019,0.34448170837247394,0.10241086801578855,0.44573567546277754,0.2524111646688676,0.24708644535462784,0.2651085945628571,0.2651085945628571,78226,11973712,153.06563035307954
2012,0.22334347728482556,0.6072530718402109,0.27700403795659884,0.8172396779747729,0.14549265655590365,0.2538992458752425,0.1415329855983569,0.28337436160308865,0.19440968037129,0.3606612274860392,0.20716562046554937,0.42593518630100713,0.0943499787440578,0.3462611227734992,0.09008768593448624,0.4495393363548688,0.26538640764071936,0.25971325563838477,0.2907525659686215,0.2907525659686215,63119,9360302,148.29610735277808
2013,0.21617864971267647,0.6031448328631239,0.23166548543595175,0.8290714478873206,0.1451032429624869,0.254554278308234,0.14086119567637487,0.28312278774787153,0.191924176111619,0.36057670622516264,0.2076784362439413,0.4227392425406455,0.08928340497641683,0.34138533512049635,0.09067810073296254,0.44037222309144264,0.2528852180285197,0.24790797291042546,0.2623231624423165,0.2623231624423165,68836,10176148,147.83177407170666
2014,0.21899927954616888,0.6086228797837462,0.27411439255839404,0.8482432856703621,0.14478097913679888,0.25555390533306577,0.14003818578808466,0.2857802387821476,0.19081071770212368,0.36109535867892956,0.20108254920954408,0.4247135215217299,0.09268988118811683,0.3448479871134646,0.09863575287280948,0.4487715614044043,0.25446866285533926,0.24738121149778688,0.2657894608882287,0.2657894608882287,61560,9505344,154.40779727095517
2015,0.24533335269991724,0.6448998461385077,0.5708585601145496,1.3991389965368397,0.14721208401305297,0.2555591206052797,0.14995878107517768,0.2895001498395267,0.19780333901348124,0.3605799274568233,0.2215009003924327,0.42923478959917644,0.09967179806250716,0.34612762349200515,0.11988951489088505,0.46340477043148304,0.26101524699441936,0.2523083348266276,0.2801031908279375,0.2801031908279375,59046,9125416,154.54757307861667
2016,0.2491315130506175,0.6259123070516834,0.2852722496466132,0.8615258374052992,0.15392979684005342,0.257757917017722,0.15246704755696386,0.2878857603531628,0.20093428600643307,0.36322728929102255,0.21766843221216092,0.426833874030562,0.10437420806160062,0.350718104571404,0.11072266185218647,0.46878284635589623,0.26932869242127666,0.25546557664744757,0.2835402620818578,0.2835402620818578,63706,9920247,155.71919442438704
2017,0.25655739149839357,0.6067603113893525,0.3025968752248758,0.8252148000019839,0.16531172345758002,0.25610539525056353,0.1639578081582793,0.2872664968511836,0.21009122535562136,0.3587972172844475,0.23501372228365078,0.42531053652014195,0.11671634956291463,0.33985756000913525,0.1399478627281366,0.4447356692103347,0.27648804436177776,0.2538620013813822,0.2898196420527965,0.2898196420527965,23640,3449883,145.93413705583757
