Date,Name,Description,Activity Types,Distance,Duration,Ascent,Descent,Calories,Feeling,RPE,Average Speed,Average Pace,Average Swim Pace,Average Heart Rate,Average Power,Maximum Power,VO2Max,Link
"4/30/2020","2020-04-30T07:49:49.000Z","","Running","9.31 Km","46m 27s","42 m","7 m","762 KCal","Very Good ","","12.02 km/h","04:59 min/km","","173 bpm","","","57.40 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYfzxoUwpTB4AW3pwSCc2YtoWaGgRV1e"
"5/1/2020","2020-05-01T10:20:43.000Z","","Running","5.50 Km","28m 07s","7 m","28 m","422 KCal","Very Good ","","11.75 km/h","05:06 min/km","","163 bpm","","","57.50 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYg15EeYtCcLuNCuqAeZFiK82FJMEgbR"
"5/2/2020","2020-05-02T10:09:30.000Z","","Running","7.00 Km","36m 09s","14 m","42 m","478 KCal","Very Good ","","11.62 km/h","05:09 min/km","","156 bpm","","","57.90 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYg18uAMRQJs3JgGa7WSBs1ZE9Ve2Rs9"
"5/3/2020","2020-05-03T09:18:37.000Z","","Running","7.22 Km","37m 31s","28 m","43 m","520 KCal","Very Good ","","11.55 km/h","05:11 min/km","","159 bpm","","","58.20 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYg1CVdyj9hLxneyq8nK4KfYGTmuztxS"
"5/5/2020","2020-05-05T09:12:07.000Z","","Running","13.19 Km","01h 02m 13s","28 m","28 m","1052 KCal","Excellent ","","12.72 km/h","04:42 min/km","","177 bpm","","","57.70 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYgDjytHB7TiATC6YNZ51ScV1DMBXM3d"
"5/6/2020","2020-05-06T08:38:35.000Z","","Running","7.49 Km","37m 51s","28 m","43 m","587 KCal","","","11.86 km/h","05:03 min/km","","166 bpm","","","57.60 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygYgDodRhFVtNkJiZXzqvaWatxD7oR2Ae"
"5/7/2020","2020-05-07T07:32:19.000Z","","Running","5.23 Km","26m 24s","35 m","7 m","382 KCal","Very Good ","","11.88 km/h","05:03 min/km","","161 bpm","","","57.40 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9o7vAkdRz6UzM2gTq3MmKpiKgyYoLjSQ"
"5/8/2020","2020-05-08T08:48:23.000Z","","Running","12.88 Km","01h 13m 21s","101 m","21 m","1053 KCal","Very Good ","","10.53 km/h","05:41 min/km","","167 bpm","","","57.50 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9o7vHBvKkZXtEF2t6UgGuk83yXcNUEBy"
"5/9/2020","2020-05-09T09:44:12.000Z","","Running","5.28 Km","27m 05s","0 m","7 m","389 KCal","Very Good ","","11.69 km/h","05:07 min/km","","160 bpm","","","57.40 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9o7vLpqgDQygmDUJ9DNUwsvEpXfS6eq6"
"5/10/2020","2020-05-10T07:33:25.000Z","","Running","21.39 Km","02h 03m 45s","205 m","176 m","1906 KCal","Very Good ","","10.37 km/h","05:47 min/km","","170 bpm","","","56.80 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9o7vQzbGNh1wjaPgpr4XDFFShkcnjc34"
