Date,Name,Description,Activity Types,Distance,Duration,Ascent,Descent,Calories,Feeling,RPE,Average Speed,Average Pace,Average Swim Pace,Average Heart Rate,Average Power,Maximum Power,VO2Max,Link
"9/4/2020","2020-09-04T06:24:24.000Z","","Running","13.58 Km","01h 24m 38s","85 m","106 m","960 KCal","Average ","","9.62 km/h","06:14 min/km","","146 bpm","","","58.00 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZfVHJrccbbhtiFcbBvEpJ358pvdXwZG"
"9/5/2020","2020-09-05T07:34:10.000Z","","Running","10.84 Km","01h 02m 07s","113 m","106 m","876 KCal","Good ","","10.48 km/h","05:43 min/km","","162 bpm","","","57.90 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZfVPkL7yVNT7x4AHGWuj793qCk44QMd"
"9/6/2020","2020-09-06T08:06:34.000Z","","Running","20.25 Km","01h 44m 20s","134 m","106 m","1518 KCal","Very Good ","","11.64 km/h","05:09 min/km","","167 bpm","","","57.80 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZfVTxCvKwLs4AB92N5FvEXAeFrd9oGw"
"9/8/2020","2020-09-08T07:16:13.000Z","","Running","11.57 Km","01h 03m 15s","70 m","92 m","961 KCal","Very Good ","","10.98 km/h","05:27 min/km","","167 bpm","","","57.60 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZfVe1bM7XoBeoNGUJTwjTfq8ENPjCY4"
"9/9/2020","2020-09-09T07:14:27.000Z","","Running","11.01 Km","01h 00m 05s","92 m","78 m","826 KCal","Good ","","10.99 km/h","05:27 min/km","","159 bpm","","","57.80 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZfVheW9jFdmR7fxsVTPg8drtWZYbgWd"
"9/10/2020","2020-09-10T10:22:14.000Z","","Running","8.53 Km","43m 14s","92 m","21 m","632 KCal","Good ","","11.84 km/h","05:04 min/km","","164 bpm","","","57.90 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZfYDkYB5D9ZRfGDqhkdRx7ZmZDqeheS"
"9/11/2020","2020-09-11T07:26:12.000Z","","Running","13.82 Km","01h 18m 06s","91 m","128 m","1074 KCal","Good ","","10.62 km/h","05:39 min/km","","160 bpm","","","57.70 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZfYHQ5xi1mTaoUgSUywt53Qdodw6Hu4"
"9/12/2020","2020-09-12T11:19:01.000Z","","Running","7.63 Km","46m 47s","78 m","120 m","673 KCal","Good ","","9.79 km/h","06:07 min/km","","163 bpm","","","57.40 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZfYMaekH1Nss7aVHbxhuWcmqSyzhasr"
"9/15/2020","2020-09-15T06:36:14.000Z","","Running","8.40 Km","52m 21s","99 m","92 m","668 KCal","Good ","","9.63 km/h","06:13 min/km","","156 bpm","","","56.70 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZfkx7ZCihFZ5mvf2eLmd8umEDm19wM4"
"9/16/2020","2020-09-16T05:57:41.000Z","","Running","47.0 m","20s","0 m","0 m","","Excellent ","","8.31 km/h","07:13 min/km","","83 bpm","","","56.70 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZfm2HyCuiXJuyzzxBWtbVPRQmsHjxAZ"
"9/16/2020","2020-09-16T05:58:44.000Z","","Running","16.24 Km","01h 36m 33s","163 m","156 m","1341 KCal","Good ","","10.09 km/h","05:56 min/km","","162 bpm","","","56.80 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZfm2HyPSJZbf3nEUBSVK1y3z5CZ7ut5"
"9/17/2020","2020-09-17T06:34:42.000Z","","Running","13.17 Km","01h 18m 32s","177 m","207 m","1030 KCal","Good ","","10.06 km/h","05:57 min/km","","156 bpm","","","56.80 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZfm8k6yNBB1sBQMbuxPTWC2Dv6tcSRw"
"9/19/2020","2020-09-19T07:49:50.000Z","","Running","315.0 m","01m 51s","0 m","0 m","30 KCal","","","10.17 km/h","05:53 min/km","","161 bpm","","","56.80 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZfmGaMpR4g3kU5CEry6h4tXY8XfysYw"
"9/19/2020","2020-09-19T07:54:50.000Z","","Running","9.78 Km","01h 01m 35s","120 m","99 m","826 KCal","","","9.53 km/h","06:17 min/km","","162 bpm","","","55.70 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZfmGaMpVuugSKbGmgM5SvjSo9tzUDuK"
"9/20/2020","2020-09-20T07:30:19.000Z","","Running","15.94 Km","01h 30m 42s","163 m","155 m","1248 KCal","Very Good ","","10.54 km/h","05:41 min/km","","163 bpm","","","56.00 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZfmNzsLkktKuRfFEm7qZiSwCZVkV8vc"
"9/21/2020","2020-09-21T15:14:52.000Z","","Running","6.59 Km","38m 47s","518 m","166 m","484 KCal","Good ","","10.20 km/h","05:53 min/km","","148 bpm","","","56.10 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3c49f403335fbdab709c32aa8c3906b5f80f3cd178bf7239a9569d2fe271e808"
"9/22/2020","2020-09-22T07:19:30.000Z","","Running","9.19 Km","59m 41s","114 m","85 m","690 KCal","Average ","","9.24 km/h","06:29 min/km","","147 bpm","","","56.10 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/8f8940de4be558f99413eb198258a3df9bf65682685e43c33435b9607924c6e7"
"9/23/2020","2020-09-23T05:42:16.000Z","","Running","11.82 Km","01h 03m 15s","174 m","71 m","933 KCal","Good ","","11.21 km/h","05:21 min/km","","166 bpm","","","56.60 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/cf95ce224daa64042cceeae39fe26ed0e2c3b41ad89b253d6e720dfc020aaa25"
"9/24/2020","2020-09-24T07:02:52.000Z","","Running","12.05 Km","01h 08m 36s","142 m","120 m","936 KCal","Very Good ","","10.53 km/h","05:41 min/km","","160 bpm","","","56.90 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/41601fc8d8da4953b26ab77ff35cc26a3c612db3637d5a357253b7e861eaef32"
"9/25/2020","2020-09-25T07:33:19.000Z","","Running","8.64 Km","53m 53s","113 m","78 m","675 KCal","Very Good ","","9.62 km/h","06:14 min/km","","150 bpm","","","56.90 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/380d8ad94860f37d81f73b17bf0dc15244e8509477393ebb75d4853c706a982a"
"9/27/2020","2020-09-27T07:53:24.000Z","","Running","11.18 Km","59m 36s","84 m","120 m","882 KCal","","","11.25 km/h","05:19 min/km","","166 bpm","","","57.10 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/70017c245cf97b19406c8f972efd82a37e8ab3aef9646ef085b8256cf8dfd661"
"9/28/2020","2020-09-28T06:49:53.000Z","","Running","6.67 Km","35m 01s","43 m","43 m","499 KCal","","","11.43 km/h","05:14 min/km","","161 bpm","","","57.30 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/4b6e403b9fdc1c40bf1042c6da1c0cd49078b1e01af5690ba748cec9f3119e5b"
"9/29/2020","2020-09-29T10:35:37.000Z","","Running","9.10 Km","46m 33s","71 m","134 m","753 KCal","Very Good ","","11.73 km/h","05:06 min/km","","171 bpm","","","57.70 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/0ca88de794b7421d600ad4f413432cf777f502421b675d7ce483c9039521961a"
"9/30/2020","2020-09-30T07:30:29.000Z","","Running","6.41 Km","35m 06s","56 m","64 m","482 KCal","","","10.96 km/h","05:28 min/km","","156 bpm","","","57.60 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/7d402a10d04e6a383dd2628d0a4586e6e4bcddc210917fca59b5f90b15c245e0"
