Country Name,Country Code,Series Name,Series Code,2017 [YR2017]
Libya,LBY,"Population, total",SP.POP.TOTL,6375000
Liechtenstein,LIE,"Population, total",SP.POP.TOTL,38000
Lithuania,LTU,"Population, total",SP.POP.TOTL,2856000
Low & middle income,LMY,"Population, total",SP.POP.TOTL,6328725000
Low income,LIC,"Population, total",SP.POP.TOTL,677007000
Lower middle income,LMC,"Population, total",SP.POP.TOTL,3055354000
Luxembourg,LUX,"Population, total",SP.POP.TOTL,590000
"Macao SAR, China",MAC,"Population, total",SP.POP.TOTL,623000
"Macedonia, FYR",MKD,"Population, total",SP.POP.TOTL,2083000
Madagascar,MDG,"Population, total",SP.POP.TOTL,25571000
Malawi,MWI,"Population, total",SP.POP.TOTL,18622000
Malaysia,MYS,"Population, total",SP.POP.TOTL,31624000
Maldives,MDV,"Population, total",SP.POP.TOTL,423000
Mali,MLI,"Population, total",SP.POP.TOTL,18542000
Malta,MLT,"Population, total",SP.POP.TOTL,439000
Marshall Islands,MHL,"Population, total",SP.POP.TOTL,53000
Mauritania,MRT,"Population, total",SP.POP.TOTL,4420000
Mauritius,MUS,"Population, total",SP.POP.TOTL,1267000
Mexico,MEX,"Population, total",SP.POP.TOTL,129163000
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,106000
Middle East & North Africa,MEA,"Population, total",SP.POP.TOTL,444255000
Middle East & North Africa (excluding high income),MNA,"Population, total",SP.POP.TOTL,379891000
Middle East & North Africa (IDA & IBRD countries),TMN,"Population, total",SP.POP.TOTL,375217000
Middle income,MIC,"Population, total",SP.POP.TOTL,5651718000
Moldova,MDA,"Population, total",SP.POP.TOTL,3544000
Monaco,MCO,"Population, total",SP.POP.TOTL,39000
Mongolia,MNG,"Population, total",SP.POP.TOTL,3076000
Montenegro,MNE,"Population, total",SP.POP.TOTL,623000
Morocco,MAR,"Population, total",SP.POP.TOTL,35740000
Mozambique,MOZ,"Population, total",SP.POP.TOTL,29669000
Myanmar,MMR,"Population, total",SP.POP.TOTL,53371000
Namibia,NAM,"Population, total",SP.POP.TOTL,2534000
Nauru,NRU,"Population, total",SP.POP.TOTL,13000
Nepal,NPL,"Population, total",SP.POP.TOTL,29305000
Netherlands,NLD,"Population, total",SP.POP.TOTL,17073000
New Caledonia,NCL,"Population, total",SP.POP.TOTL,281000
New Zealand,NZL,"Population, total",SP.POP.TOTL,4736000
Nicaragua,NIC,"Population, total",SP.POP.TOTL,6218000
Niger,NER,"Population, total",SP.POP.TOTL,21477000
Nigeria,NGA,"Population, total",SP.POP.TOTL,190886000
North America,NAC,"Population, total",SP.POP.TOTL,362137000
Northern Mariana Islands,MNP,"Population, total",SP.POP.TOTL,55000
Norway,NOR,"Population, total",SP.POP.TOTL,5289000
Not classified,INX,"Population, total",SP.POP.TOTL,..
OECD members,OED,"Population, total",SP.POP.TOTL,1296810000
Oman,OMN,"Population, total",SP.POP.TOTL,4636000
Other small states,OSS,"Population, total",SP.POP.TOTL,30577000
Pacific island small states,PSS,"Population, total",SP.POP.TOTL,2418000
Pakistan,PAK,"Population, total",SP.POP.TOTL,197016000
Palau,PLW,"Population, total",SP.POP.TOTL,22000
Panama,PAN,"Population, total",SP.POP.TOTL,4099000
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,8251000
Paraguay,PRY,"Population, total",SP.POP.TOTL,6811000
Peru,PER,"Population, total",SP.POP.TOTL,32165000
Philippines,PHL,"Population, total",SP.POP.TOTL,104918000
Poland,POL,"Population, total",SP.POP.TOTL,37908000
Portugal,PRT,"Population, total",SP.POP.TOTL,10286000
Post-demographic dividend,PST,"Population, total",SP.POP.TOTL,1106289000
Pre-demographic dividend,PRE,"Population, total",SP.POP.TOTL,904401000
Puerto Rico,PRI,"Population, total",SP.POP.TOTL,3410000
Qatar,QAT,"Population, total",SP.POP.TOTL,2639000
Romania,ROU,"Population, total",SP.POP.TOTL,19586000
Russian Federation,RUS,"Population, total",SP.POP.TOTL,144231000
Rwanda,RWA,"Population, total",SP.POP.TOTL,12208000
Samoa,WSM,"Population, total",SP.POP.TOTL,196000
San Marino,SMR,"Population, total",SP.POP.TOTL,33000
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,204000
Saudi Arabia,SAU,"Population, total",SP.POP.TOTL,32938000
Senegal,SEN,"Population, total",SP.POP.TOTL,15851000
Serbia,SRB,"Population, total",SP.POP.TOTL,7031000
Seychelles,SYC,"Population, total",SP.POP.TOTL,95000
Sierra Leone,SLE,"Population, total",SP.POP.TOTL,7557000
Singapore,SGP,"Population, total",SP.POP.TOTL,5688000
Sint Maarten (Dutch part),SXM,"Population, total",SP.POP.TOTL,..
Slovak Republic,SVK,"Population, total",SP.POP.TOTL,5431000
Slovenia,SVN,"Population, total",SP.POP.TOTL,2066000
Small states,SST,"Population, total",SP.POP.TOTL,40279000
Solomon Islands,SLB,"Population, total",SP.POP.TOTL,611000
Somalia,SOM,"Population, total",SP.POP.TOTL,14743000
South Africa,ZAF,"Population, total",SP.POP.TOTL,56639000
South Asia,SAS,"Population, total",SP.POP.TOTL,1788234000
South Asia (IDA & IBRD),TSA,"Population, total",SP.POP.TOTL,1788234000
South Sudan,SSD,"Population, total",SP.POP.TOTL,12576000
Spain,ESP,"Population, total",SP.POP.TOTL,46460000
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,21302000
St. Kitts and Nevis,KNA,"Population, total",SP.POP.TOTL,55000
St. Lucia,LCA,"Population, total",SP.POP.TOTL,179000
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,..
St. Vincent and the Grenadines,VCT,"Population, total",SP.POP.TOTL,110000
Sub-Saharan Africa,SSF,"Population, total",SP.POP.TOTL,1061031000
Sub-Saharan Africa (excluding high income),SSA,"Population, total",SP.POP.TOTL,1060936000
Sub-Saharan Africa (IDA & IBRD countries),TSS,"Population, total",SP.POP.TOTL,1061031000
Sudan,SDN,"Population, total",SP.POP.TOTL,40533000
Suriname,SUR,"Population, total",SP.POP.TOTL,563000
Swaziland,SWZ,"Population, total",SP.POP.TOTL,1367000
Sweden,SWE,"Population, total",SP.POP.TOTL,9971000
Switzerland,CHE,"Population, total",SP.POP.TOTL,8441000
Syrian Arab Republic,SYR,"Population, total",SP.POP.TOTL,18270000
Tajikistan,TJK,"Population, total",SP.POP.TOTL,8921000
Tanzania,TZA,"Population, total",SP.POP.TOTL,57310000
Thailand,THA,"Population, total",SP.POP.TOTL,69038000
Timor-Leste,TLS,"Population, total",SP.POP.TOTL,1296000
Togo,TGO,"Population, total",SP.POP.TOTL,7798000
Tonga,TON,"Population, total",SP.POP.TOTL,108000
Trinidad and Tobago,TTO,"Population, total",SP.POP.TOTL,1369000
Tunisia,TUN,"Population, total",SP.POP.TOTL,11532000
Turkey,TUR,"Population, total",SP.POP.TOTL,80745000
Turkmenistan,TKM,"Population, total",SP.POP.TOTL,5758000
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,35000
Tuvalu,TUV,"Population, total",SP.POP.TOTL,11000
Uganda,UGA,"Population, total",SP.POP.TOTL,42863000
Ukraine,UKR,"Population, total",SP.POP.TOTL,44776000
United Arab Emirates,ARE,"Population, total",SP.POP.TOTL,9400000
United Kingdom,GBR,"Population, total",SP.POP.TOTL,66013000
United States,USA,"Population, total",SP.POP.TOTL,325524000
Upper middle income,UMC,"Population, total",SP.POP.TOTL,2596364000
Uruguay,URY,"Population, total",SP.POP.TOTL,3457000
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,32262000
Vanuatu,VUT,"Population, total",SP.POP.TOTL,276000
"Venezuela, RB",VEN,"Population, total",SP.POP.TOTL,31977000
Vietnam,VNM,"Population, total",SP.POP.TOTL,93652000
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,103000
West Bank and Gaza,PSE,"Population, total",SP.POP.TOTL,4674000
World,WLD,"Population, total",SP.POP.TOTL,7523997000
"Yemen, Rep.",YEM,"Population, total",SP.POP.TOTL,28250000
Zambia,ZMB,"Population, total",SP.POP.TOTL,17094000
Zimbabwe,ZWE,"Population, total",SP.POP.TOTL,16530000
,,,,
,,,,
,,,,
Data from database: Population estimates and projections,,,,
Last Updated: 12/18/2017,,,,
