party,afinn_sentiment_avg,afinn_sd_avg,afinn_sentiment_wtd,afinn_sd_wtd,jockers_sentiment_avg,jockers_sd_avg,jockers_sentiment_wtd,jockers_sd_wtd,nrc_sentiment_avg,nrc_sd_avg,nrc_sentiment_wtd,nrc_sd_wtd,huliu_sentiment_avg,huliu_sd_avg,huliu_sentiment_wtd,huliu_sd_wtd,rheault_sentiment_avg,rheault_sd_avg,rheault_sentiment_wtd,rheault_sd_wtd,jockers_rinker_sentiment_avg,jockers_rinker_sd_avg,jockers_rinker_sentiment_wtd,jockers_rinker_sd_wtd,senticnet_sentiment_avg,senticnet_sd_avg,senticnet_sentiment_wtd,senticnet_sd_wtd,tot_speeches,tot_words,avg_speech_length
Independent SDP,0.07059714060480496,0.5265195451256259,0.04127431332368241,0.5944474896775069,0.08222145602021985,0.2590268743224757,0.065032484798574125,0.2849976308610346,0.13776834215980796,0.35211169669873466,0.1174498052929327,0.3716986024964424,-0.010437146282779839,0.3105323462160004,-0.030556544004869558,0.33407683833199403,0.19771080840980168,0.2573666447626761,0.180539444681121,0.180539444681121,0.06688341610394286,0.2765408412332542,0.05229204871829899,0.05229204871829899,0.2495204736619231,0.3460346877813303,0.2252309334289941,0.2252309334289941,135,61165,453.0740740740741
Independent Ulster Unionist,0.030224785198739633,0.42830142507608465,0.002809194360346179,0.508397433429158,0.062183850373673764,0.2391004398037111,0.038658996987893254,0.25111454633504493,0.10194402305675355,0.3094309175274796,0.09304676181024935,0.3318014187281311,-0.013904480905214922,0.25377077793696173,-0.038269294691291963,0.2893425384679098,0.16552057689109403,0.2239685034569646,0.1572953196121399,0.1572953196121399,0.0526074015273816,0.24973319369009606,0.026040649879311793,0.026040649879311793,0.1884605813136696,0.2988784387275594,0.18423457867668602,0.18423457867668602,813,200488,246.60270602706026
Independent Unionist,0.04937012971474182,0.4348857079347937,0.04955658562603208,0.5110543420466768,0.0631077396598369,0.24343170484143878,0.0448071215881409,0.2556013672985369,0.11566581113944589,0.31411065482365236,0.11006011241574078,0.33424586019103,-0.007601867643821403,0.24292971067068533,-0.012045568642284999,0.27937059263927944,0.20339428334721543,0.23775133640446605,0.1856452311527537,0.1856452311527537,0.05779275059091357,0.25192617165222664,0.037603623063565114,0.037603623063565114,0.19593043417566944,0.29299703736130134,0.19826156079656845,0.19826156079656845,437,100173,229.2288329519451
Labour,0.11565363323132613,0.413492665700772,0.13227321754012478,0.49347998003632765,0.11096916184361061,0.23362888364802104,0.10399747460922563,0.25217568776676397,0.1503447565198549,0.3056024691333318,0.15720941906565483,0.33407062123506187,0.04126516952365201,0.25073793473447226,0.03290418817922934,0.28719969244144916,0.21200379421449972,0.23099756571450264,0.2202757482386363,0.2202757482386363,0.09838984335662217,0.24766092037534782,0.08712808580944481,0.08712808580944481,0.22912853467931596,0.30942512645978104,0.23807931769702642,0.23807931769702642,834966,152335207,182.44480254285804
Labour (Co-op),0.1290911327238414,0.43826189298162777,0.1642615139733821,0.5212142165675667,0.12349116322173007,0.24191112740896997,0.12166364281554726,0.25965800393193367,0.1629626294394548,0.3160843360035787,0.1757467992236826,0.34161225218283786,0.048763741457567684,0.26175407107314064,0.0499372796821211,0.2979411268644108,0.24227068941103355,0.24617041992387317,0.25429362373009884,0.25429362373009884,0.10979771322379853,0.2562065865448622,0.103009269523049,0.103009269523049,0.2481526648659002,0.3178106617416629,0.2629706156249469,0.2629706156249469,45865,8008215,174.60405537991932
Liberal,0.10231995986539782,0.41742754628738465,0.13241395415015078,0.5045477533875447,0.09272703210789196,0.22384717143829277,0.07626252202625944,0.24351651598355695,0.13115351039073048,0.2970324382394075,0.11617009342317457,0.3312598922637342,0.02651916175634049,0.251691791148877,0.014456875711468073,0.29094705471430393,0.18953052119289074,0.22068643432565693,0.1801014602255683,0.1801014602255683,0.08265687092994582,0.2371107367061558,0.06022439887853624,0.06022439887853624,0.23670642301827258,0.30409950020557797,0.2088328967652296,0.2088328967652296,4421,1035160,234.14612078715223
Liberal Democrat,0.1531243108727388,0.44107269451409425,0.16773040600725161,0.5087224742136304,0.11930565830077942,0.2387975328409535,0.10850192799713132,0.25490648406639466,0.1569072486522905,0.31228581728503524,0.1568175663084394,0.3380534954552038,0.04995061173010949,0.26137115507878855,0.04083815581440105,0.2947269097333753,0.2349690663428141,0.24408022071707983,0.23261490159625506,0.23261490159625506,0.10429866737303506,0.25334169487893055,0.08894389671343439,0.08894389671343439,0.24753618239573894,0.3196397185937596,0.24790649880651933,0.24790649880651933,122018,24980238,204.72584372797456
Other,0.063378137091742,0.4594817090635897,0.08930332559383367,0.5285321257741586,0.0638681981597674,0.24845096703051453,0.06320101066070231,0.2590355409574864,0.10979675981427907,0.32410150335118476,0.11315116531405325,0.3373399743073212,-0.009885419021559183,0.2653469930707279,-0.011806533244326886,0.30306605192137503,0.17275315535194383,0.23579222938385178,0.18026353042007612,0.18026353042007612,0.0506442628907608,0.2627444864699545,0.04589215504124517,0.04589215504124517,0.18547209605908677,0.3011736383698495,0.1994334462155633,0.1994334462155633,718,162928,226.9192200557103
Plaid Cymru,0.1056636466159003,0.4072123279682855,0.13091653445975385,0.48478874535619293,0.09589937218955341,0.2256299523431212,0.0887842264443396,0.24510491489258776,0.1370005296853824,0.29695866982619656,0.14688821556181025,0.3294249598937363,0.026070677690241566,0.24287712457842658,0.018046496347260257,0.28006631183652997,0.2147890584265142,0.2285406721047679,0.21908588123433512,0.21908588123433512,0.08351224765819461,0.23793672182029815,0.07193085446304358,0.07193085446304358,0.24492864969190076,0.3083938430208753,0.2372182582165624,0.2372182582165624,10733,2170185,202.19742849156805
Respect,-0.055490205048551206,0.4516658037772342,-0.0862404650069176,0.5140370129579399,0.006056436128785551,0.23112538044058692,-0.007466328923138593,0.24211927197047156,0.053152909695349713,0.2884226993659289,0.04946125483937853,0.3168046092864461,-0.025661541238338657,0.26271122845096867,-0.07266555098708674,0.2815046437663768,0.12211080997677079,0.2048957584522104,0.12565073884541933,0.12565073884541933,-0.001638654504839436,0.23567667761012742,-0.0199169888069866,-0.0199169888069866,0.12166545691624545,0.3037774901304392,0.14385870299999465,0.14385870299999465,142,46596,328.14084507042253
