party,afinn_sentiment_avg,afinn_sd_avg,afinn_sentiment_wtd,afinn_sd_wtd,jockers_sentiment_avg,jockers_sd_avg,jockers_sentiment_wtd,jockers_sd_wtd,nrc_sentiment_avg,nrc_sd_avg,nrc_sentiment_wtd,nrc_sd_wtd,sentiword_sentiment_avg,sentiword_sd_avg,sentiword_sentiment_wtd,sentiword_sd_wtd,hu_sentiment_avg,hu_sd_avg,hu_sentiment_wtd,hu_sd_wtd,rheault_sentiment_avg,rheault_sd_avg,rheault_sentiment_wtd,rheault_sd_wtd,tot_speeches,tot_words,avg_speech_length
Independent Socialist,-0.021069695366561555,0.44456729758611907,-0.07302125061341,0.5782460503727896,0.04253779161357168,0.23093101521176718,0.009857619669958883,0.24703354846146028,0.08623154138168002,0.31474681254331033,0.05716899294426588,0.34992637986689595,0.007188004239161989,0.13782482060051665,-0.0048966058559125536,0.15268172179896722,-0.05207961564090651,0.2686865030496418,-0.09541961838317718,0.3162272237789041,0.11072877987289755,0.1727394737408724,0.1381867302286272,0.1381867302286272,386,129120,334.5077720207254
Independent Ulster Unionist,0.024861123928312127,0.5260041747381802,0.008439105950292595,0.6478500897400296,0.06325427684121109,0.24921880519313036,0.0416598400091894,0.26674973429711013,0.11578241514903069,0.3435489739455925,0.10228049946162408,0.3858340369701087,0.012878641828124282,0.1406104169647633,6.531372188900076e-4,0.158729557825656,-0.022312801645690775,0.31879755175586155,-0.04689119930185964,0.3737655249419663,0.16802400537402645,0.2241049811770298,0.15876214727847676,0.15876214727847676,813,202397,248.95079950799507
Independent Unionist,0.07589629525644719,0.476184308255416,0.09263985465695677,0.5737466133121489,0.062002504106149964,0.23192191476337573,0.05163717922517616,0.2529558194422031,0.1374672691816644,0.32262488287905705,0.12472543421477016,0.35869776249480656,0.01415658296831109,0.13079399441930142,0.0034888828573611005,0.14548249755931622,-0.010464747470828819,0.28532664913011335,-0.013911088766360675,0.3421777298908208,0.21601428175220944,0.21940341148619782,0.22266743684304596,0.22266743684304596,188,34433,183.15425531914894
Labour,0.14178205307355593,0.516339358925289,0.1692544135854152,0.6531571001830865,0.11451962039927142,0.24539025076166318,0.1081270191452845,0.2691299891522897,0.15913884486229135,0.33916256370606934,0.16991289604953919,0.3837201987408066,0.0281623608382084,0.13938351460261195,0.022047436190055614,0.15599699644989662,0.04813771039687327,0.3048902166011505,0.04227570197473167,0.367774518338448,0.20718569574219678,0.2257807575140271,0.23693640223116968,0.23693640223116968,850047,161376751,189.84450389213774
Labour (Co-op),0.15844083558442637,0.5479566160271414,0.20838991144988075,0.6897551213269766,0.12786611470789372,0.25380055593115025,0.12567026361628764,0.27575832698741243,0.17438539678188847,0.3533891778040296,0.1920431855676408,0.3959051242404878,0.03251241087813641,0.14209707224098392,0.02764727330362325,0.16053205390616043,0.05567163992835888,0.3218511739056151,0.06090261351117946,0.3845410037680344,0.24788544723207626,0.25147389760829136,0.26077259199564995,0.26077259199564995,46068,8463398,183.71533385430234
Liberal,0.11367233990390135,0.5085236070299864,0.1506519163141777,0.63706532514274,0.09347030369721619,0.23275101432487347,0.0780210149894432,0.25615472612103996,0.13361702860385005,0.32347859550153024,0.12353218684036195,0.3722098248236031,0.028164970512956602,0.13971457922038702,0.015450654355741267,0.1610540826106636,0.025576745192940457,0.29556228518979416,0.014352770651948786,0.35138160505926613,0.1981344695367716,0.20863441096754892,0.21232426218353453,0.21232426218353453,4414,1043615,236.43294064340733
Liberal Democrat,0.1842118582513133,0.5637164237806129,0.20595560328516024,0.6885320745077427,0.1201053467921463,0.25188119946033866,0.10929508487936682,0.27416766630300643,0.16466158272585404,0.35246708045040187,0.16806344187306155,0.3943304262094418,0.033393735515297104,0.145791118064596,0.026454685537921737,0.16209496205238416,0.057052698378402135,0.32609410561158914,0.047897154171078225,0.3844160626027357,0.23715342107492673,0.24297380495839035,0.24704589330470886,0.24704589330470886,126777,27453313,216.54805682418734
Other,0.07500820068050978,0.5363239604627902,0.10501328276176244,0.6393367260231076,0.06146483072114751,0.255637149573526,0.06462813651899262,0.2708490049565135,0.11613597918527045,0.34724813360710816,0.1197318887362379,0.36994365187935285,0.011255148141808367,0.1392352075158781,0.008742287768715823,0.15219502735518764,-0.01265903366492878,0.298313771055647,-0.012534704171264028,0.35409989364926564,0.18113377900024846,0.23524215042030763,0.19223449646211246,0.19223449646211246,718,164711,229.4025069637883
Plaid Cymru,0.12583419760720177,0.5188099994175795,0.16328824389703636,0.6676995158842268,0.09613208617270985,0.23953854535545618,0.09018072474799162,0.2652240235180144,0.14158761161652417,0.33331333136128793,0.15748143412728535,0.38281992453467395,0.028549985712003765,0.1359842687073927,0.01823878627222251,0.156521156249815,0.026640071059012886,0.3029947812916987,0.018810135464225327,0.3701954288982031,0.21668598396971214,0.2245412976204931,0.2307064466919667,0.2307064466919667,10810,2273177,210.28464384828862
Referendum,0.14364516529406124,0.49597730201378937,0.17465816384289407,0.6127924915989652,0.1559036970483418,0.2514281568952358,0.11686672521210928,0.2673780410642786,0.21112919506078498,0.32543461343630536,0.1953512369956551,0.3614830665761305,0.033379797487643255,0.1405169849212631,0.0187417028739223,0.15638454136449623,0.09068448363939595,0.3245103519486084,0.05867726820077716,0.3661277847398018,0.23211173456406206,0.2104757075731219,0.24171233829455877,0.24171233829455877,242,77142,318.7685950413223
