mnis_id,proper_name,afinn_sentiment_avg,afinn_sd_avg,afinn_sentiment_wtd,afinn_sd_wtd,jockers_sentiment_avg,jockers_sd_avg,jockers_sentiment_wtd,jockers_sd_wtd,nrc_sentiment_avg,nrc_sd_avg,nrc_sentiment_wtd,nrc_sd_wtd,huliu_sentiment_avg,huliu_sd_avg,huliu_sentiment_wtd,huliu_sd_wtd,rheault_sentiment_avg,rheault_sd_avg,rheault_sentiment_wtd,rheault_sd_wtd,tot_speeches,tot_words,avg_speech_length
145,Ken Livingstone,-0.006221332904054261,0.5308663293008564,-0.007826485315414647,0.6696464812269062,0.03495541468164674,0.24115656286935866,0.01681270878600291,0.25766020854566646,0.11285099048859941,0.3423472824300068,0.11149206973279431,0.38175136185225833,-0.04448459996728952,0.3052481250629387,-0.08294343509590266,0.3556937139125021,0.1458106335321792,0.22278879785354322,0.13462772872425025,0.13462772872425025,631,193633,306.86687797147385
146,Barry Gardiner,0.16084985154751236,0.5414739422593045,0.19610289967072905,0.7107826250571903,0.14361413658424474,0.2572001077926573,0.1322776367517072,0.2783247735675156,0.17656353775843608,0.35351964181032447,0.19748920869142034,0.400611113528871,0.08414392840984952,0.33000765987295233,0.07277627506480519,0.40806481219724194,0.24329276691301618,0.24160496020819072,0.24146567003973682,0.24146567003973682,1935,355812,183.88217054263566
147,Paul Boateng,0.15103400354713725,0.5516299045304608,0.19834339185595917,0.6400761236148595,0.12416537890785616,0.26692203296850636,0.13601691915225825,0.27754627227185874,0.16763910273072738,0.3517448988792607,0.2061900063171461,0.37942730624525206,0.046596434129130525,0.3193074285892474,0.05957525488418436,0.3588318483000725,0.22411762289940076,0.25395841308411715,0.24717592253772488,0.24717592253772488,2128,399111,187.55216165413535
148,Ann Keen,0.394427267741071,0.6298664650589996,0.4555483641413485,0.8128270259956936,0.22627635503026763,0.28549573530610156,0.21464701650998178,0.3094980157648866,0.30088016962184916,0.37882078902396554,0.30870017208355033,0.45671470277012005,0.1516814427590897,0.3518157715492488,0.18552768702807906,0.4461217069281213,0.33467932014999296,0.27737097424619844,0.3423463984152238,0.3423463984152238,423,95703,226.24822695035462
149,Eric Forth,0.22040467236318537,0.5754219490233264,0.2763266218850095,0.7215626463554833,0.1403460744235857,0.2624104929665204,0.14694908883121363,0.278057630234225,0.18338205253757922,0.3638901469171053,0.21595718982556705,0.40063656062781317,0.06733446553124968,0.33444203372721315,0.08025450889214411,0.40739395726376226,0.2221193496686366,0.2466314411511817,0.24645265550585005,0.24645265550585005,7648,1190084,155.60721757322176
150,Harriet Harman,0.18982167695539867,0.5412084826870436,0.18540545426812025,0.6592154726114664,0.14597708560551045,0.2519243963424037,0.1276717738022724,0.2701034315234439,0.2166352429790021,0.35283096700309796,0.20230296511905035,0.38639269913314855,0.07739665775417519,0.3138281569937899,0.07006382806293827,0.3717673327404076,0.25398787664458533,0.2532855665645168,0.24534778964968398,0.24534778964968398,6347,955678,150.5716086340003
151,Tom Brake,0.2206870037057733,0.588817753998051,0.2993273637297705,0.7532749905048857,0.13369027874721773,0.2386371680076425,0.13680491155457297,0.26664072986088655,0.1810258100175582,0.35049548236483413,0.19854722832509944,0.40874258035049266,0.06855039049524835,0.3376919804731656,0.07112172714289863,0.42966708173602475,0.27128291980048835,0.25111779618704994,0.2752256424768114,0.2752256424768114,2270,410488,180.831718061674
152,Iain Duncan Smith,0.14095078234952424,0.5743867791604499,0.17044630450255693,0.6950905492397724,0.1208347109850118,0.2557004627083324,0.11022645627744158,0.27040235366692345,0.1598686858263447,0.3599476748422587,0.161206080065926,0.3938218051781233,0.07146922670285573,0.3486741043826971,0.06311277143066206,0.4027505718480223,0.22165954959895615,0.24096793289836177,0.21759592564112504,0.21759592564112504,3953,610408,154.41639261320515
153,Sydney Chapman,0.23295153728801318,0.4945677204713239,0.2768518339095155,0.6303991316722266,0.18059161215466815,0.2427700869833726,0.16228599812332697,0.2650502326252181,0.26041640667765986,0.3632587798358156,0.24809467904760182,0.40452304409478274,0.10524873647662077,0.3159022764554192,0.09464610632616315,0.3837412075211129,0.2740665776621196,0.2413141652275314,0.25506485489908765,0.25506485489908765,1860,238127,128.0252688172043
154,Peter Brooke,0.25109455563764843,0.4628999679879619,0.31859100504002946,0.631863712404379,0.17063828933428724,0.2288566128195219,0.16002779801893907,0.25567367183515566,0.2382231945407737,0.33420167646618,0.2500334360821982,0.38037381011475385,0.10810370398418576,0.2762345218679552,0.11603572220054581,0.35673559435723395,0.23867834920349534,0.21340163593475817,0.25063135682270354,0.25063135682270354,2704,491708,181.84467455621302
